"","lon","lat","month","year","precip","lon2","meanYR","YR2000","DBYR"
"1",234.25,41.25,7,1900,NA,-125.75,1,NA,NA
"2",234.75,41.25,7,1900,NA,-125.25,1,NA,NA
"3",235.25,41.25,7,1900,NA,-124.75,1,NA,NA
"4",235.75,41.25,7,1900,NA,-124.25,1,NA,NA
"5",236.25,41.25,7,1900,0.509999990463257,-123.75,1,NA,NA
"6",236.75,41.25,7,1900,0.0500000007450581,-123.25,1,NA,NA
"7",237.25,41.25,7,1900,0.759999990463257,-122.75,1,NA,NA
"8",237.75,41.25,7,1900,0.0700000002980232,-122.25,1,NA,NA
"9",238.25,41.25,7,1900,0.0399999991059303,-121.75,1,NA,NA
"10",238.75,41.25,7,1900,0.229999989271164,-121.25,1,NA,NA
"11",239.25,41.25,7,1900,0.740000009536743,-120.75,1,NA,NA
"12",239.75,41.25,7,1900,0.699999988079071,-120.25,1,NA,NA
"13",240.25,41.25,7,1900,0.480000019073486,-119.75,1,NA,NA
"14",240.75,41.25,7,1900,0.280000001192093,-119.25,1,NA,NA
"15",241.25,41.25,7,1900,0.140000000596046,-118.75,1,NA,NA
"16",241.75,41.25,7,1900,0.170000001788139,-118.25,1,NA,NA
"17",242.25,41.25,7,1900,0.209999993443489,-117.75,1,NA,NA
"18",242.75,41.25,7,1900,0.310000002384186,-117.25,1,NA,NA
"19",243.25,41.25,7,1900,0.590000033378601,-116.75,1,NA,NA
"20",243.75,41.25,7,1900,0.850000023841858,-116.25,1,NA,NA
"21",244.25,41.25,7,1900,0.719999969005585,-115.75,1,NA,NA
"22",244.75,41.25,7,1900,0.580000042915344,-115.25,1,NA,NA
"23",245.25,41.25,7,1900,0.590000033378601,-114.75,1,NA,NA
"24",245.75,41.25,7,1900,0.290000021457672,-114.25,1,NA,NA
"25",246.25,41.25,7,1900,0.150000005960464,-113.75,1,NA,NA
"26",246.75,41.25,7,1900,0,-113.25,1,NA,NA
"27",247.25,41.25,7,1900,0,-112.75,1,NA,NA
"28",247.75,41.25,7,1900,0.329999983310699,-112.25,1,NA,NA
"29",248.25,41.25,7,1900,0.519999980926514,-111.75,1,NA,NA
"30",248.75,41.25,7,1900,0.490000009536743,-111.25,1,NA,NA
"31",249.25,41.25,7,1900,0.919999957084656,-110.75,1,NA,NA
"32",249.75,41.25,7,1900,1.43999993801117,-110.25,1,NA,NA
"33",250.25,41.25,7,1900,0.699999988079071,-109.75,1,NA,NA
"34",250.75,41.25,7,1900,0.390000015497208,-109.25,1,NA,NA
"35",251.25,41.25,7,1900,0.830000042915344,-108.75,1,NA,NA
"36",251.75,41.25,7,1900,1.82999992370605,-108.25,1,NA,NA
"37",252.25,41.25,7,1900,2.91000008583069,-107.75,1,NA,NA
"38",252.75,41.25,7,1900,3.73000001907349,-107.25,1,NA,NA
"39",253.25,41.25,7,1900,4.17999982833862,-106.75,1,NA,NA
"40",253.75,41.25,7,1900,4.26999998092651,-106.25,1,NA,NA
"41",254.25,41.25,7,1900,3.29000020027161,-105.75,1,NA,NA
"42",254.75,41.25,7,1900,4.23000001907349,-105.25,1,NA,NA
"43",255.25,41.25,7,1900,3.37999987602234,-104.75,1,NA,NA
"44",255.75,41.25,7,1900,4.27999973297119,-104.25,1,NA,NA
"45",256.25,41.25,7,1900,5.40999984741211,-103.75,1,NA,NA
"46",256.75,41.25,7,1900,5.05000019073486,-103.25,1,NA,NA
"47",257.25,41.25,7,1900,6.84000015258789,-102.75,1,NA,NA
"48",257.75,41.25,7,1900,7.28999996185303,-102.25,1,NA,NA
"49",258.25,41.25,7,1900,7.15000009536743,-101.75,1,NA,NA
"50",258.75,41.25,7,1900,7.71000003814697,-101.25,1,NA,NA
"51",259.25,41.25,7,1900,8.48000049591064,-100.75,1,NA,NA
"52",259.75,41.25,7,1900,8.85999965667725,-100.25,1,NA,NA
"53",260.25,41.25,7,1900,11,-99.75,1,NA,NA
"54",260.75,41.25,7,1900,15.3399991989136,-99.25,1,NA,NA
"55",261.25,41.25,7,1900,16.5399990081787,-98.75,1,NA,NA
"56",261.75,41.25,7,1900,12.8199996948242,-98.25,1,NA,NA
"57",262.25,41.25,7,1900,13.1899995803833,-97.75,1,NA,NA
"58",262.75,41.25,7,1900,12.7699995040894,-97.25,1,NA,NA
"59",263.25,41.25,7,1900,14.1800003051758,-96.75,1,NA,NA
"60",263.75,41.25,7,1900,16.1499996185303,-96.25,1,NA,NA
"61",264.25,41.25,7,1900,17.8400001525879,-95.75,1,NA,NA
"62",264.75,41.25,7,1900,17.0399990081787,-95.25,1,NA,NA
"63",265.25,41.25,7,1900,15.6399993896484,-94.75,1,NA,NA
"64",265.75,41.25,7,1900,12.25,-94.25,1,NA,NA
"65",266.25,41.25,7,1900,11.6999998092651,-93.75,1,NA,NA
"66",266.75,41.25,7,1900,11.460000038147,-93.25,1,NA,NA
"67",267.25,41.25,7,1900,11.5500001907349,-92.75,1,NA,NA
"68",267.75,41.25,7,1900,10.7600002288818,-92.25,1,NA,NA
"69",268.25,41.25,7,1900,7.30999994277954,-91.75,1,NA,NA
"70",268.75,41.25,7,1900,7.59000015258789,-91.25,1,NA,NA
"71",269.25,41.25,7,1900,8.93000030517578,-90.75,1,NA,NA
"72",269.75,41.25,7,1900,10.1099996566772,-90.25,1,NA,NA
"73",270.25,41.25,7,1900,10.6999998092651,-89.75,1,NA,NA
"74",270.75,41.25,7,1900,9.98000049591064,-89.25,1,NA,NA
"75",271.25,41.25,7,1900,10.25,-88.75,1,NA,NA
"76",271.75,41.25,7,1900,8.98999977111816,-88.25,1,NA,NA
"77",272.25,41.25,7,1900,10.2300004959106,-87.75,1,NA,NA
"78",272.75,41.25,7,1900,11.4099998474121,-87.25,1,NA,NA
"79",273.25,41.25,7,1900,14.1700000762939,-86.75,1,NA,NA
"80",273.75,41.25,7,1900,13.9200000762939,-86.25,1,NA,NA
"81",274.25,41.25,7,1900,11.9099998474121,-85.75,1,NA,NA
"82",274.75,41.25,7,1900,11.789999961853,-85.25,1,NA,NA
"83",275.25,41.25,7,1900,12.9300003051758,-84.75,1,NA,NA
"84",275.75,41.25,7,1900,10.2199993133545,-84.25,1,NA,NA
"85",276.25,41.25,7,1900,13.8800001144409,-83.75,1,NA,NA
"86",276.75,41.25,7,1900,16.9500007629395,-83.25,1,NA,NA
"87",277.25,41.25,7,1900,17.4099998474121,-82.75,1,NA,NA
"88",277.75,41.25,7,1900,15.1600008010864,-82.25,1,NA,NA
"89",278.25,41.25,7,1900,14.6199998855591,-81.75,1,NA,NA
"90",278.75,41.25,7,1900,13.0699996948242,-81.25,1,NA,NA
"91",279.25,41.25,7,1900,15.25,-80.75,1,NA,NA
"92",279.75,41.25,7,1900,13.5199995040894,-80.25,1,NA,NA
"93",280.25,41.25,7,1900,13.5399990081787,-79.75,1,NA,NA
"94",280.75,41.25,7,1900,13.7100009918213,-79.25,1,NA,NA
"95",281.25,41.25,7,1900,12.3500003814697,-78.75,1,NA,NA
"96",281.75,41.25,7,1900,10.7300004959106,-78.25,1,NA,NA
"97",282.25,41.25,7,1900,8.94000053405762,-77.75,1,NA,NA
"98",282.75,41.25,7,1900,7.44000005722046,-77.25,1,NA,NA
"99",283.25,41.25,7,1900,7.49000024795532,-76.75,1,NA,NA
"100",283.75,41.25,7,1900,10.3599996566772,-76.25,1,NA,NA
"101",284.25,41.25,7,1900,10.3400001525879,-75.75,1,NA,NA
"102",284.75,41.25,7,1900,12.8299999237061,-75.25,1,NA,NA
"103",285.25,41.25,7,1900,11.6800003051758,-74.75,1,NA,NA
"104",285.75,41.25,7,1900,11.4800004959106,-74.25,1,NA,NA
"105",286.25,41.25,7,1900,10.2600002288818,-73.75,1,NA,NA
"106",286.75,41.25,7,1900,10.1000003814697,-73.25,1,NA,NA
"107",287.25,41.25,7,1900,NA,-72.75,1,NA,NA
"108",287.75,41.25,7,1900,NA,-72.25,1,NA,NA
"109",288.25,41.25,7,1900,NA,-71.75,1,NA,NA
"110",288.75,41.25,7,1900,NA,-71.25,1,NA,NA
"111",289.25,41.25,7,1900,NA,-70.75,1,NA,NA
"112",234.25,40.75,7,1900,NA,-125.75,1,NA,NA
"113",234.75,40.75,7,1900,NA,-125.25,1,NA,NA
"114",235.25,40.75,7,1900,NA,-124.75,1,NA,NA
"115",235.75,40.75,7,1900,NA,-124.25,1,NA,NA
"116",236.25,40.75,7,1900,0,-123.75,1,NA,NA
"117",236.75,40.75,7,1900,0.25,-123.25,1,NA,NA
"118",237.25,40.75,7,1900,0,-122.75,1,NA,NA
"119",237.75,40.75,7,1900,0,-122.25,1,NA,NA
"120",238.25,40.75,7,1900,0.209999993443489,-121.75,1,NA,NA
"121",238.75,40.75,7,1900,0.530000030994415,-121.25,1,NA,NA
"122",239.25,40.75,7,1900,1.1800000667572,-120.75,1,NA,NA
"123",239.75,40.75,7,1900,1.23000001907349,-120.25,1,NA,NA
"124",240.25,40.75,7,1900,0.699999988079071,-119.75,1,NA,NA
"125",240.75,40.75,7,1900,0.290000021457672,-119.25,1,NA,NA
"126",241.25,40.75,7,1900,0.140000000596046,-118.75,1,NA,NA
"127",241.75,40.75,7,1900,0.0500000007450581,-118.25,1,NA,NA
"128",242.25,40.75,7,1900,0.159999996423721,-117.75,1,NA,NA
"129",242.75,40.75,7,1900,0.25,-117.25,1,NA,NA
"130",243.25,40.75,7,1900,0.850000023841858,-116.75,1,NA,NA
"131",243.75,40.75,7,1900,1.46000003814697,-116.25,1,NA,NA
"132",244.25,40.75,7,1900,0.459999978542328,-115.75,1,NA,NA
"133",244.75,40.75,7,1900,1.25,-115.25,1,NA,NA
"134",245.25,40.75,7,1900,0.980000019073486,-114.75,1,NA,NA
"135",245.75,40.75,7,1900,0.280000001192093,-114.25,1,NA,NA
"136",246.25,40.75,7,1900,0,-113.75,1,NA,NA
"137",246.75,40.75,7,1900,0,-113.25,1,NA,NA
"138",247.25,40.75,7,1900,0.709999978542328,-112.75,1,NA,NA
"139",247.75,40.75,7,1900,0.639999985694885,-112.25,1,NA,NA
"140",248.25,40.75,7,1900,1.25999999046326,-111.75,1,NA,NA
"141",248.75,40.75,7,1900,1.18999993801117,-111.25,1,NA,NA
